City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,tolanaro,-25.0319,46.9987,19.04,68,20,3.09,MG,1690325183
338,mutuali,-14.8706,37.0044,14.97,81,6,2.06,MZ,1690325183
339,dolores,-36.3132,-57.6792,9.09,94,100,2.65,AR,1690325035
340,naantali,60.4674,22.0243,16.59,94,0,0.51,FI,1690325184
341,mangrol,21.1167,70.1167,27.28,86,99,7.79,IN,1690325184
342,taltal,-25.4,-70.4833,15.74,77,55,1.73,CL,1690325184
343,galle,6.0367,80.217,25.82,86,100,3.95,LK,1690325185
344,brindisi,40.5833,17.6667,30.8,50,7,4.18,IT,1690325185
345,reyes,-14.3167,-67.3833,25.33,63,25,0.42,BO,1690325185
346,bonthe,7.5264,-12.505,24.58,90,100,1.77,SL,1690325185
347,peruibe,-24.32,-46.9983,19.46,75,0,1.62,BR,1690325186
348,afaahiti,-17.75,-149.2833,27.93,81,0,6.88,PF,1690325186
349,fisterra,42.9049,-9.2629,17.08,81,51,5.1,ES,1690325186
350,cruz alta,-28.6386,-53.6064,16.7,88,96,3.19,BR,1690325186
351,kruisfontein,-34.0033,24.7314,10.93,32,0,2.52,ZA,1690325187
352,palmer,42.1584,-72.3287,22.57,100,100,2.06,US,1690325187
353,sao joao da barra,-21.6403,-41.0511,23.05,89,45,6.83,BR,1690325187
354,polyarnyy,69.1989,33.4478,9.83,95,81,2.48,RU,1690325187
355,brigantine,39.4101,-74.3646,23.91,89,100,1.54,US,1690325187
356,paranhos,-23.8928,-55.4311,21.52,43,16,2.33,BR,1690325188
357,lazaro cardenas,17.9583,-102.2,30.08,69,97,3.81,MX,1690325188
358,cooma,-36.2333,149.1333,6.23,54,38,0.94,AU,1690325188
359,ust'-ilimsk,58.0006,102.6619,18.44,75,100,1.35,RU,1690325188
360,oranjemund,-28.55,16.4333,12.6,85,77,7.69,NA,1690325189
361,paran'ga,56.7039,49.4047,13.86,96,23,2.24,RU,1690325189
362,kokpekty,48.75,82.4,17.82,55,83,2.49,KZ,1690325189
363,nagqu,31.5,92.0,5.58,94,100,1.47,CN,1690325190
364,aykhal,66.0,111.5,17.66,65,100,4.08,RU,1690325191
